 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 01, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in  U-Mo.txt

 Ion = Molybdenum [42] , Mass = 97.905 amu

 Target Density =  1.7200E+01 g/cm3 = 5.0440E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    077.00    089.25   
     Mo     42    023.00    010.75   
 ====================================
 Bragg Correction = 0.37%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   4.486E+02  1.248E+02    9564 A      3626 A      3180 A   
   6.50 MeV   4.863E+02  1.193E+02    1.02 um     3775 A      3353 A   
   7.00 MeV   5.245E+02  1.142E+02    1.09 um     3909 A      3514 A   
   8.00 MeV   6.017E+02  1.055E+02    1.21 um     4140 A      3800 A   
   9.00 MeV   6.788E+02  9.819E+01    1.32 um     4332 A      4048 A   
  10.00 MeV   7.547E+02  9.196E+01    1.43 um     4492 A      4263 A   
  11.00 MeV   8.286E+02  8.657E+01    1.53 um     4628 A      4452 A   
  12.00 MeV   8.999E+02  8.186E+01    1.62 um     4744 A      4619 A   
  13.00 MeV   9.682E+02  7.770E+01    1.71 um     4846 A      4769 A   
  14.00 MeV   1.033E+03  7.400E+01    1.79 um     4935 A      4903 A   
  15.00 MeV   1.095E+03  7.068E+01    1.87 um     5013 A      5025 A   
  16.00 MeV   1.154E+03  6.768E+01    1.95 um     5084 A      5136 A   
  17.00 MeV   1.209E+03  6.495E+01    2.02 um     5147 A      5238 A   
  18.00 MeV   1.262E+03  6.247E+01    2.09 um     5205 A      5332 A   
  20.00 MeV   1.358E+03  5.809E+01    2.23 um     5307 A      5501 A   
  22.50 MeV   1.463E+03  5.350E+01    2.38 um     5414 A      5683 A   
  25.00 MeV   1.555E+03  4.966E+01    2.54 um     5505 A      5842 A   
  27.50 MeV   1.637E+03  4.639E+01    2.68 um     5583 A      5982 A   
  30.00 MeV   1.711E+03  4.357E+01    2.82 um     5652 A      6107 A   
  32.50 MeV   1.777E+03  4.111E+01    2.95 um     5713 A      6221 A   
  35.00 MeV   1.839E+03  3.893E+01    3.08 um     5767 A      6324 A   
  37.50 MeV   1.896E+03  3.700E+01    3.21 um     5817 A      6420 A   
  40.00 MeV   1.950E+03  3.528E+01    3.33 um     5862 A      6509 A   
  45.00 MeV   2.051E+03  3.231E+01    3.57 um     5946 A      6668 A   
  50.00 MeV   2.144E+03  2.984E+01    3.80 um     6018 A      6810 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E+00                 eV / Angstrom 
  1.0000E+01                keV / micron   
  1.0000E+01                MeV / mm       
  5.8141E-03                keV / (ug/cm2) 
  5.8141E-03                MeV / (mg/cm2) 
  5.8141E+00                keV / (mg/cm2) 
  1.9825E+00                 eV / (1E15 atoms/cm2)
  1.1899E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
